gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,sic,at,lt,lct,act,che,invt,rect,sale,cogs,oiadp,ni,ib,year,current_ratio,quick_ratio,debt_ratio,roe,gross_margin,net_margin,inventory_turnover,receivables_turnover
001690,2011-09-30,2011,INDL,C,D,STD,3663,116371.0,39756.0,27970.0,44988.0,25952.0,776.0,11717.0,108249.0,62609.0,33790.0,25922.0,25922.0,2011,1.6084376117268502,1.5806936002860208,0.34163150613125265,0.3383410559289956,0.42162052305333075,0.2394664153941376,80.68170103092784,9.238627635060169
001690,2012-09-30,2012,INDL,C,D,STD,3663,176064.0,57854.0,38542.0,57653.0,29129.0,791.0,18692.0,156508.0,84641.0,55241.0,41733.0,41733.0,2012,1.4958486845519174,1.4753256188054589,0.32859641948382406,0.35304119786820065,0.4591905845068623,0.26665090602397323,107.00505689001264,8.372993794136528
001690,2012-09-30,2012,INDL,C,D,STD,3663,176064.0,57854.0,38542.0,57653.0,29129.0,791.0,18692.0,156508.0,84641.0,55241.0,41733.0,41733.0,2012,1.4958486845519174,1.4753256188054589,0.32859641948382406,0.35304119786820065,0.4591905845068623,0.26665090602397323,107.00505689001264,8.372993794136528
001690,2013-09-30,2013,INDL,C,D,STD,3663,207000.0,83451.0,43658.0,73286.0,40546.0,1764.0,20641.0,170910.0,99849.0,48999.0,37037.0,37037.0,2013,1.6786385084062485,1.6382335425351597,0.4031449275362319,0.29977579745687943,0.41578023521151486,0.21670469837926393,56.60374149659864,8.280122087108182
001690,2013-09-30,2013,INDL,C,D,STD,3663,207000.0,83451.0,43658.0,73286.0,40546.0,1764.0,20641.0,170910.0,99849.0,48999.0,37037.0,37037.0,2013,1.6786385084062485,1.6382335425351597,0.4031449275362319,0.29977579745687943,0.41578023521151486,0.21670469837926393,56.60374149659864,8.280122087108182
001690,2014-09-30,2014,INDL,C,D,STD,3663,231839.0,120292.0,63448.0,68531.0,25077.0,2111.0,27219.0,182795.0,104312.0,52503.0,39510.0,39510.0,2014,1.0801128483167317,1.0468415080065565,0.5188600709975457,0.3542004715501089,0.4293498181022457,0.21614376760852322,49.41354808147797,6.715713288511702
001690,2014-09-30,2014,INDL,C,D,STD,3663,231839.0,120292.0,63448.0,68531.0,25077.0,2111.0,27219.0,182795.0,104312.0,52503.0,39510.0,39510.0,2014,1.0801128483167317,1.0468415080065565,0.5188600709975457,0.3542004715501089,0.4293498181022457,0.21614376760852322,49.41354808147797,6.715713288511702
001690,2015-09-30,2015,INDL,C,D,STD,3663,290479.0,171124.0,80610.0,89378.0,41601.0,2349.0,30343.0,233715.0,129589.0,71230.0,53394.0,53394.0,2015,1.1087706239920605,1.079630318819005,0.5891097118896719,0.44735453060198566,0.4455255332349229,0.22845773698735639,55.16773094934015,7.702435487591866
001690,2015-09-30,2015,INDL,C,D,STD,3663,290479.0,171124.0,80610.0,89378.0,41601.0,2349.0,30343.0,233715.0,129589.0,71230.0,53394.0,53394.0,2015,1.1087706239920605,1.079630318819005,0.5891097118896719,0.44735453060198566,0.4455255332349229,0.22845773698735639,55.16773094934015,7.702435487591866
001690,2016-09-30,2016,INDL,C,D,STD,3663,321686.0,193437.0,79006.0,106869.0,67155.0,2132.0,29299.0,215091.0,121576.0,59476.0,45687.0,45687.0,2016,1.352669417512594,1.3256841252563096,0.6013224075651412,0.3562366958026963,0.4347694696663273,0.21240777159434843,57.02439024390244,7.3412403153691255
001690,2016-09-30,2016,INDL,C,D,STD,3663,321686.0,193437.0,79006.0,106869.0,67155.0,2132.0,29299.0,215091.0,121576.0,59476.0,45687.0,45687.0,2016,1.352669417512594,1.3256841252563096,0.6013224075651412,0.3562366958026963,0.4347694696663273,0.21240777159434843,57.02439024390244,7.3412403153691255
001690,2017-09-30,2017,INDL,C,D,STD,3663,375319.0,241272.0,100814.0,128645.0,74181.0,4855.0,35673.0,229234.0,131648.0,61344.0,48351.0,48351.0,2017,1.2760628484139107,1.2279048544844962,0.6428451530564666,0.3607018433832909,0.42570473838959316,0.21092420845075338,27.115962924819772,6.425980433380988
001690,2017-09-30,2017,INDL,C,D,STD,3663,375319.0,241272.0,100814.0,128645.0,74181.0,4855.0,35673.0,229234.0,131648.0,61344.0,48351.0,48351.0,2017,1.2760628484139107,1.2279048544844962,0.6428451530564666,0.3607018433832909,0.42570473838959316,0.21092420845075338,27.115962924819772,6.425980433380988
